Terms		Difference
10		0.0249383
11		0.0226808
12		0.0207975
13		0.0192025
14		0.0178345
15		0.0166482
16		0.0156098
17		0.0146932
18		0.0138782
19		0.0131488
20		0.0124922
21		0.011898
22		0.0113578
23		0.0108644
24		0.0104122
25		0.00999601
26		0.00961184
27		0.00925609
28		0.00892573
29		0.00861813
30		0.00833102
31		0.00806242
32		0.00781059
33		0.00757402
34		0.00735135
35		0.0071414
36		0.00694311
37		0.00675552
38		0.00657781
39		0.0064092
40		0.00624902
41		0.00609665
42		0.00595154
43		0.00581317
44		0.00568108
45		0.00555487
46		0.00543414
47		0.00531855
48		0.00520777
49		0.00510151
50		0.0049995
51		0.00490149
52		0.00480725
53		0.00471656
54		0.00462923
55		0.00454508
56		0.00446393
57		0.00438563
58		0.00431002
59		0.00423698
60		0.00416638
61		0.00409809
62		0.004032
63		0.003968
64		0.00390601
65		0.00384593
66		0.00378766
67		0.00373114
68		0.00367627
69		0.003623
70		0.00357125
71		0.00352095
72		0.00347205
73		0.0034245
74		0.00337822
75		0.00333319
76		0.00328933
77		0.00324662
78		0.003205
79		0.00316443
80		0.00312488
81		0.0030863
82		0.00304867
83		0.00301194
84		0.00297609
85		0.00294107
86		0.00290688
87		0.00287347
88		0.00284082
89		0.0028089
90		0.00277769
91		0.00274717
92		0.00271731
93		0.00268809
94		0.0026595
95		0.00263151
96		0.0026041
97		0.00257725
98		0.00255095
99		0.00252519
100		0.00249994
101		0.00247519
102		0.00245092
103		0.00242713
104		0.00240379
105		0.0023809
106		0.00235844
107		0.0023364
108		0.00231477
109		0.00229353
110		0.00227268
111		0.00225221
112		0.0022321
113		0.00221235
114		0.00219294
115		0.00217387
116		0.00215513
117		0.00213671
118		0.00211861
119		0.0021008
120		0.0020833
121		0.00206608
122		0.00204915
123		0.00203249
124		0.0020161
125		0.00199997
126		0.0019841
127		0.00196847
128		0.0019531
129		0.00193796
130		0.00192305
131		0.00190837
132		0.00189391
133		0.00187967
134		0.00186565
135		0.00185183
136		0.00183821
137		0.00182479
138		0.00181157
139		0.00179854
140		0.00178569
141		0.00177303
142		0.00176054
143		0.00174823
144		0.00173609
145		0.00172412
146		0.00171231
147		0.00170066
148		0.00168917
149		0.00167783
150		0.00166665
151		0.00165561
152		0.00164472
153		0.00163397
154		0.00162336
155		0.00161289
156		0.00160255
157		0.00159234
158		0.00158226
159		0.00157231
160		0.00156248
161		0.00155278
162		0.0015432
163		0.00153373
164		0.00152438
165		0.00151514
166		0.00150601
167		0.00149699
168		0.00148808
169		0.00147928
170		0.00147058
171		0.00146198
172		0.00145348
173		0.00144507
174		0.00143677
175		0.00142856
176		0.00142044
177		0.00141242
178		0.00140448
179		0.00139664
180		0.00138888
181		0.0013812
182		0.00137362
183		0.00136611
184		0.00135869
185		0.00135134
186		0.00134408
187		0.00133689
188		0.00132978
189		0.00132274
190		0.00131578
191		0.00130889
192		0.00130207
193		0.00129533
194		0.00128865
195		0.00128204
196		0.0012755
197		0.00126903
198		0.00126262
199		0.00125627
200		0.00124999
201		0.00124377
202		0.00123762
203		0.00123152
204		0.00122548
205		0.0012195
206		0.00121359
207		0.00120772
208		0.00120192
209		0.00119617
210		0.00119047
211		0.00118483
212		0.00117924
213		0.0011737
214		0.00116822
215		0.00116278
216		0.0011574
217		0.00115207
218		0.00114678
219		0.00114155
220		0.00113636
221		0.00113122
222		0.00112612
223		0.00112107
224		0.00111607
225		0.00111111
226		0.00110619
227		0.00110132
228		0.00109649
229		0.0010917
230		0.00108695
231		0.00108225
232		0.00107758
233		0.00107296
234		0.00106837
235		0.00106382
236		0.00105932
237		0.00105485
238		0.00105042
239		0.00104602
240		0.00104166
241		0.00103734
242		0.00103305
243		0.0010288
244		0.00102459
245		0.0010204
246		0.00101626
247		0.00101214
248		0.00100806
249		0.00100401
250		0.000999996
251		0.000996012
252		0.00099206
253		0.000988138
254		0.000984248
255		0.000980388
256		0.000976559
257		0.000972759
258		0.000968989
259		0.000965247
260		0.000961535
261		0.000957851
262		0.000954195
263		0.000950567
264		0.000946966
265		0.000943393
266		0.000939846
267		0.000936326
268		0.000932833
269		0.000929365
270		0.000925923
271		0.000922506
272		0.000919115
273		0.000915748
274		0.000912406
275		0.000909088
276		0.000905794
277		0.000902524
278		0.000899278
279		0.000896054
280		0.000892854
281		0.000889677
282		0.000886522
283		0.000883389
284		0.000880279
285		0.00087719
286		0.000874123
287		0.000871077
288		0.000868053
289		0.000865049
290		0.000862066
291		0.000859104
292		0.000856162
293		0.00085324
294		0.000850338
295		0.000847455
296		0.000844592
297		0.000841748
298		0.000838924
299		0.000836118
300		0.000833331
301		0.000830562
302		0.000827812
303		0.00082508
304		0.000822366
305		0.00081967
306		0.000816991
307		0.00081433
308		0.000811686
309		0.000809059
310		0.00080645
311		0.000803856
312		0.00080128
313		0.00079872
314		0.000796176
315		0.000793649
316		0.000791137
317		0.000788642
318		0.000786162
319		0.000783697
320		0.000781248
321		0.000778814
322		0.000776396
323		0.000773992
324		0.000771603
325		0.000769229
326		0.000766869
327		0.000764524
328		0.000762193
329		0.000759877
330		0.000757574
331		0.000755285
332		0.00075301
333		0.000750749
334		0.000748501
335		0.000746267
336		0.000744046
337		0.000741838
338		0.000739643
339		0.000737462
340		0.000735293
341		0.000733136
342		0.000730993
343		0.000728861
344		0.000726743
345		0.000724636
346		0.000722542
347		0.00072046
348		0.000718389
349		0.000716331
350		0.000714284
351		0.000712249
352		0.000710226
353		0.000708214
354		0.000706213
355		0.000704224
356		0.000702246
357		0.000700279
358		0.000698323
359		0.000696377
360		0.000694443
361		0.000692519
362		0.000690606
363		0.000688704
364		0.000686812
365		0.00068493
366		0.000683059
367		0.000681198
368		0.000679347
369		0.000677506
370		0.000675674
371		0.000673853
372		0.000672042
373		0.00067024
374		0.000668448
375		0.000666665
376		0.000664892
377		0.000663129
378		0.000661375
379		0.000659629
380		0.000657894
381		0.000656167
382		0.000654449
383		0.00065274
384		0.000651041
385		0.00064935
386		0.000647667
387		0.000645994
388		0.000644329
389		0.000642672
390		0.000641025
391		0.000639385
392		0.000637754
393		0.000636131
394		0.000634517
395		0.00063291
396		0.000631312
397		0.000629722
398		0.00062814
399		0.000626565
400		0.000624999
401		0.00062344
402		0.00062189
403		0.000620346
404		0.000618811
405		0.000617283
406		0.000615763
407		0.00061425
408		0.000612744
409		0.000611246
410		0.000609755
411		0.000608272
412		0.000606795
413		0.000605326
414		0.000603864
415		0.000602409
416		0.000600961
417		0.00059952
418		0.000598085
419		0.000596658
420		0.000595237
421		0.000593823
422		0.000592416
423		0.000591016
424		0.000589622
425		0.000588234
426		0.000586854
427		0.000585479
428		0.000584111
429		0.00058275
430		0.000581395
431		0.000580046
432		0.000578703
433		0.000577366
434		0.000576036
435		0.000574712
436		0.000573394
437		0.000572082
438		0.000570776
439		0.000569475
440		0.000568181
441		0.000566893
442		0.00056561
443		0.000564333
444		0.000563062
445		0.000561797
446		0.000560537
447		0.000559283
448		0.000558035
449		0.000556792
450		0.000555555
451		0.000554323
452		0.000553097
453		0.000551876
454		0.00055066
455		0.00054945
456		0.000548245
457		0.000547045
458		0.000545851
459		0.000544662
460		0.000543478
461		0.000542299
462		0.000541125
463		0.000539956
464		0.000538792
465		0.000537634
466		0.00053648
467		0.000535331
468		0.000534187
469		0.000533048
470		0.000531914
471		0.000530785
472		0.00052966
473		0.000528541
474		0.000527426
475		0.000526315
476		0.00052521
477		0.000524108
478		0.000523012
479		0.00052192
480		0.000520833
481		0.00051975
482		0.000518672
483		0.000517598
484		0.000516528
485		0.000515463
486		0.000514403
487		0.000513346
488		0.000512295
489		0.000511247
490		0.000510204
491		0.000509164
492		0.00050813
493		0.000507099
494		0.000506072
495		0.00050505
496		0.000504032
497		0.000503018
498		0.000502008
499		0.000501002
500		0.0005
501		0.000499001
502		0.000498007
503		0.000497017
504		0.000496031
505		0.000495049
506		0.000494071
507		0.000493096
508		0.000492126
509		0.000491159
510		0.000490196
511		0.000489236
512		0.000488281
513		0.000487329
514		0.000486381
515		0.000485436
516		0.000484496
517		0.000483559
518		0.000482625
519		0.000481695
520		0.000480769
521		0.000479846
522		0.000478927
523		0.000478011
524		0.000477099
525		0.00047619
526		0.000475285
527		0.000474383
528		0.000473484
529		0.000472589
530		0.000471698
531		0.000470809
532		0.000469924
533		0.000469043
534		0.000468164
535		0.000467289
536		0.000466418
537		0.000465549
538		0.000464684
539		0.000463821
540		0.000462963
541		0.000462107
542		0.000461254
543		0.000460405
544		0.000459558
545		0.000458715
546		0.000457875
547		0.000457038
548		0.000456204
549		0.000455373
550		0.000454545
551		0.00045372
552		0.000452898
553		0.000452079
554		0.000451263
555		0.00045045
556		0.00044964
557		0.000448833
558		0.000448028
559		0.000447227
560		0.000446428
561		0.000445632
562		0.00044484
563		0.000444049
564		0.000443262
565		0.000442478
566		0.000441696
567		0.000440917
568		0.000440141
569		0.000439367
570		0.000438596
571		0.000437828
572		0.000437063
573		0.0004363
574		0.00043554
575		0.000434782
576		0.000434027
577		0.000433275
578		0.000432526
579		0.000431779
580		0.000431034
581		0.000430292
582		0.000429553
583		0.000428816
584		0.000428082
585		0.00042735
586		0.000426621
