Terms		Difference
402		0.00248139
403		0.00247524
404		0.00246913
405		0.00246305
406		0.002457
407		0.00245098
408		0.00244498
409		0.00243902
410		0.00243309
411		0.00242718
412		0.0024213
413		0.00241546
414		0.00240964
415		0.00240384
416		0.00239808
417		0.00239234
418		0.00238663
419		0.00238095
420		0.00237529
421		0.00236966
422		0.00236406
423		0.00235849
424		0.00235294
425		0.00234741
426		0.00234192
427		0.00233645
428		0.002331
429		0.00232558
430		0.00232018
431		0.00231481
432		0.00230947
433		0.00230414
434		0.00229885
435		0.00229357
436		0.00228833
437		0.0022831
438		0.0022779
439		0.00227272
440		0.00226757
441		0.00226244
442		0.00225733
443		0.00225225
444		0.00224719
445		0.00224215
446		0.00223713
447		0.00223214
448		0.00222717
449		0.00222222
450		0.00221729
451		0.00221239
452		0.0022075
453		0.00220264
454		0.0021978
455		0.00219298
456		0.00218818
457		0.0021834
458		0.00217865
459		0.00217391
460		0.00216919
461		0.0021645
462		0.00215982
463		0.00215517
464		0.00215054
465		0.00214592
466		0.00214133
467		0.00213675
468		0.00213219
469		0.00212766
470		0.00212314
471		0.00211864
472		0.00211416
473		0.0021097
474		0.00210526
475		0.00210084
476		0.00209643
477		0.00209205
478		0.00208768
479		0.00208333
480		0.002079
481		0.00207469
482		0.00207039
483		0.00206611
484		0.00206185
485		0.00205761
486		0.00205339
487		0.00204918
488		0.00204499
489		0.00204081
490		0.00203666
491		0.00203252
492		0.0020284
493		0.00202429
494		0.0020202
495		0.00201613
496		0.00201207
497		0.00200803
498		0.00200401
499		0.002
500		0.00199601
501		0.00199203
502		0.00198807
503		0.00198413
504		0.0019802
505		0.00197628
506		0.00197238
507		0.0019685
508		0.00196463
509		0.00196078
510		0.00195695
511		0.00195312
512		0.00194932
513		0.00194552
514		0.00194175
515		0.00193798
516		0.00193423
517		0.0019305
518		0.00192678
519		0.00192308
520		0.00191938
521		0.00191571
522		0.00191204
523		0.0019084
524		0.00190476
525		0.00190114
526		0.00189753
527		0.00189394
528		0.00189036
529		0.00188679
530		0.00188324
531		0.0018797
532		0.00187617
533		0.00187266
534		0.00186916
535		0.00186567
536		0.0018622
537		0.00185873
538		0.00185529
539		0.00185185
540		0.00184843
541		0.00184502
542		0.00184162
543		0.00183823
544		0.00183486
545		0.0018315
546		0.00182815
547		0.00182482
548		0.00182149
549		0.00181818
550		0.00181488
551		0.00181159
552		0.00180832
553		0.00180505
554		0.0018018
555		0.00179856
556		0.00179533
557		0.00179211
558		0.00178891
559		0.00178571
560		0.00178253
561		0.00177936
562		0.0017762
563		0.00177305
564		0.00176991
565		0.00176678
566		0.00176367
567		0.00176056
568		0.00175747
569		0.00175438
570		0.00175131
571		0.00174825
572		0.0017452
573		0.00174216
574		0.00173913
575		0.00173611
576		0.0017331
577		0.0017301
578		0.00172711
579		0.00172414
580		0.00172117
581		0.00171821
582		0.00171526
583		0.00171233
584		0.0017094
585		0.00170648
586		0.00170358
587		0.00170068
588		0.00169779
589		0.00169491
590		0.00169205
591		0.00168919
592		0.00168634
593		0.0016835
594		0.00168067
595		0.00167785
596		0.00167504
597		0.00167224
598		0.00166945
599		0.00166667
600		0.00166389
601		0.00166113
602		0.00165837
603		0.00165563
604		0.00165289
605		0.00165016
606		0.00164745
607		0.00164474
608		0.00164204
609		0.00163934
610		0.00163666
611		0.00163399
612		0.00163132
613		0.00162866
614		0.00162602
615		0.00162338
616		0.00162074
617		0.00161812
618		0.00161551
619		0.0016129
620		0.0016103
621		0.00160772
622		0.00160514
623		0.00160256
624		0.0016
625		0.00159744
626		0.0015949
627		0.00159236
628		0.00158982
629		0.0015873
630		0.00158479
631		0.00158228
632		0.00157978
633		0.00157729
634		0.0015748
635		0.00157233
636		0.00156986
637		0.0015674
638		0.00156494
639		0.0015625
640		0.00156006
641		0.00155763
642		0.00155521
643		0.00155279
644		0.00155039
645		0.00154799
646		0.00154559
647		0.00154321
648		0.00154083
649		0.00153846
650		0.0015361
651		0.00153374
652		0.00153139
653		0.00152905
654		0.00152672
655		0.00152439
656		0.00152207
657		0.00151976
658		0.00151745
659		0.00151515
660		0.00151286
661		0.00151057
662		0.00150829
663		0.00150602
664		0.00150376
665		0.0015015
666		0.00149925
667		0.00149701
668		0.00149477
669		0.00149254
670		0.00149031
671		0.00148809
672		0.00148588
673		0.00148368
674		0.00148148
675		0.00147929
676		0.0014771
677		0.00147493
678		0.00147275
679		0.00147059
680		0.00146843
681		0.00146627
682		0.00146413
683		0.00146199
684		0.00145985
685		0.00145773
686		0.0014556
687		0.00145349
688		0.00145138
689		0.00144927
690		0.00144718
691		0.00144509
692		0.001443
693		0.00144092
694		0.00143885
695		0.00143678
696		0.00143472
697		0.00143266
698		0.00143061
699		0.00142857
700		0.00142653
701		0.0014245
702		0.00142247
703		0.00142045
704		0.00141844
705		0.00141643
706		0.00141443
707		0.00141243
708		0.00141044
709		0.00140845
710		0.00140647
711		0.00140449
712		0.00140252
713		0.00140056
714		0.0013986
715		0.00139665
716		0.0013947
717		0.00139276
718		0.00139082
719		0.00138889
720		0.00138696
721		0.00138504
722		0.00138313
723		0.00138121
724		0.00137931
725		0.00137741
726		0.00137552
727		0.00137363
728		0.00137174
729		0.00136986
730		0.00136799
731		0.00136612
732		0.00136426
733		0.0013624
734		0.00136054
735		0.0013587
736		0.00135685
737		0.00135501
738		0.00135318
739		0.00135135
740		0.00134953
741		0.00134771
742		0.00134589
743		0.00134409
744		0.00134228
745		0.00134048
746		0.00133869
747		0.0013369
748		0.00133511
749		0.00133333
750		0.00133156
751		0.00132979
752		0.00132802
753		0.00132626
754		0.0013245
755		0.00132275
756		0.001321
757		0.00131926
758		0.00131752
759		0.00131579
760		0.00131406
761		0.00131234
762		0.00131062
763		0.0013089
764		0.00130719
765		0.00130548
766		0.00130378
767		0.00130208
768		0.00130039
769		0.0012987
770		0.00129702
771		0.00129534
772		0.00129366
773		0.00129199
774		0.00129032
775		0.00128866
776		0.001287
777		0.00128535
778		0.0012837
779		0.00128205
780		0.00128041
781		0.00127877
782		0.00127714
783		0.00127551
784		0.00127388
785		0.00127226
786		0.00127065
787		0.00126904
788		0.00126743
789		0.00126582
790		0.00126422
791		0.00126263
792		0.00126103
793		0.00125945
794		0.00125786
795		0.00125628
796		0.0012547
797		0.00125313
798		0.00125156
799		0.00125
800		0.00124844
801		0.00124688
802		0.00124533
803		0.00124378
804		0.00124224
805		0.00124069
806		0.00123916
807		0.00123762
808		0.00123609
809		0.00123457
810		0.00123305
811		0.00123153
812		0.00123001
813		0.0012285
814		0.00122699
815		0.00122549
816		0.00122399
817		0.00122249
818		0.001221
819		0.00121951
820		0.00121803
821		0.00121654
822		0.00121507
823		0.00121359
824		0.00121212
825		0.00121065
826		0.00120919
827		0.00120773
828		0.00120627
829		0.00120482
830		0.00120337
831		0.00120192
832		0.00120048
833		0.00119904
834		0.0011976
835		0.00119617
836		0.00119474
837		0.00119332
838		0.00119189
839		0.00119048
840		0.00118906
841		0.00118765
842		0.00118624
843		0.00118483
844		0.00118343
845		0.00118203
846		0.00118064
847		0.00117924
848		0.00117786
849		0.00117647
850		0.00117509
851		0.00117371
852		0.00117233
853		0.00117096
854		0.00116959
855		0.00116822
856		0.00116686
857		0.0011655
858		0.00116414
859		0.00116279
860		0.00116144
861		0.00116009
862		0.00115875
863		0.00115741
864		0.00115607
865		0.00115473
866		0.0011534
867		0.00115207
868		0.00115075
869		0.00114942
870		0.00114811
871		0.00114679
872		0.00114547
873		0.00114416
874		0.00114286
875		0.00114155
876		0.00114025
877		0.00113895
878		0.00113766
879		0.00113636
880		0.00113507
881		0.00113379
882		0.0011325
883		0.00113122
884		0.00112994
885		0.00112867
886		0.0011274
887		0.00112613
888		0.00112486
889		0.0011236
890		0.00112233
891		0.00112108
892		0.00111982
893		0.00111857
894		0.00111732
895		0.00111607
896		0.00111483
897		0.00111359
898		0.00111235
899		0.00111111
900		0.00110988
901		0.00110865
902		0.00110742
903		0.00110619
904		0.00110497
905		0.00110375
906		0.00110254
907		0.00110132
908		0.00110011
909		0.0010989
910		0.00109769
911		0.00109649
912		0.00109529
913		0.00109409
914		0.0010929
915		0.0010917
916		0.00109051
917		0.00108932
918		0.00108814
919		0.00108696
920		0.00108578
921		0.0010846
922		0.00108342
923		0.00108225
924		0.00108108
925		0.00107991
926		0.00107875
927		0.00107759
928		0.00107643
929		0.00107527
930		0.00107411
931		0.00107296
932		0.00107181
933		0.00107066
934		0.00106952
935		0.00106838
936		0.00106724
937		0.0010661
938		0.00106496
939		0.00106383
940		0.0010627
941		0.00106157
942		0.00106045
943		0.00105932
944		0.0010582
945		0.00105708
946		0.00105597
947		0.00105485
948		0.00105374
949		0.00105263
950		0.00105152
951		0.00105042
952		0.00104932
953		0.00104822
954		0.00104712
955		0.00104602
956		0.00104493
957		0.00104384
958		0.00104275
959		0.00104167
960		0.00104058
961		0.0010395
962		0.00103842
963		0.00103734
964		0.00103627
965		0.0010352
966		0.00103413
967		0.00103306
968		0.00103199
969		0.00103093
970		0.00102987
971		0.00102881
972		0.00102775
973		0.00102669
974		0.00102564
975		0.00102459
976		0.00102354
977		0.00102249
978		0.00102145
979		0.00102041
980		0.00101937
981		0.00101833
982		0.00101729
983		0.00101626
984		0.00101523
985		0.0010142
986		0.00101317
987		0.00101215
988		0.00101112
989		0.0010101
990		0.00100908
991		0.00100806
992		0.00100705
993		0.00100604
994		0.00100502
995		0.00100402
996		0.00100301
997		0.001002
998		0.001001
999		0.001
