Time		Euler_Method		Actual_Solution
6.32		0.999999		0.999998
6.33		0.999999		0.999998
6.34		0.999999		0.999998
6.35		0.999999		0.999998
6.36		0.999999		0.999999
6.37		0.999999		0.999999
6.38		0.999999		0.999999
6.39		0.999999		0.999999
6.4		0.999999		0.999999
6.41		0.999999		0.999999
6.42		0.999999		0.999999
6.43		0.999999		0.999999
6.44		0.999999		0.999999
6.45		0.999999		0.999999
6.46		0.999999		0.999999
6.47		0.999999		0.999999
6.48		0.999999		0.999999
6.49		0.999999		0.999999
6.5		0.999999		0.999999
6.51		0.999999		0.999999
6.52		0.999999		0.999999
6.53		0.999999		0.999999
6.54		0.999999		0.999999
6.55		0.999999		0.999999
6.56		0.999999		0.999999
6.57		0.999999		0.999999
6.58		0.999999		0.999999
6.59		0.999999		0.999999
6.6		0.999999		0.999999
6.61		0.999999		0.999999
6.62		0.999999		0.999999
6.63		0.999999		0.999999
6.64		0.999999		0.999999
6.65		0.999999		0.999999
6.66		0.999999		0.999999
6.67		0.999999		0.999999
6.68		0.999999		0.999999
6.69		0.999999		0.999999
6.7		0.999999		0.999999
6.71		0.999999		0.999999
6.72		0.999999		0.999999
6.73		0.999999		0.999999
6.74		0.999999		0.999999
6.75		0.999999		0.999999
6.76		0.999999		0.999999
6.77		0.999999		0.999999
6.78		0.999999		0.999999
6.79		0.999999		0.999999
6.8		0.999999		0.999999
6.81		0.999999		0.999999
6.82		0.999999		0.999999
6.83		0.999999		0.999999
6.84		0.999999		0.999999
6.85		1		0.999999
6.86		1		0.999999
6.87		1		0.999999
6.88		1		0.999999
6.89		1		0.999999
6.9		1		0.999999
6.91		1		1
6.92		1		1
6.93		1		1
6.94		1		1
6.95		1		1
6.96		1		1
6.97		1		1
6.98		1		1
6.99		1		1
7		1		1
7.01		1		1
7.02		1		1
7.03		1		1
7.04		1		1
7.05		1		1
7.06		1		1
7.07		1		1
7.08		1		1
7.09		1		1
7.1		1		1
7.11		1		1
7.12		1		1
7.13		1		1
7.14		1		1
7.15		1		1
7.16		1		1
7.17		1		1
7.18		1		1
7.19		1		1
7.2		1		1
7.21		1		1
7.22		1		1
7.23		1		1
7.24		1		1
7.25		1		1
7.26		1		1
7.27		1		1
7.28		1		1
7.29		1		1
7.3		1		1
7.31		1		1
7.32		1		1
7.33		1		1
7.34		1		1
7.35		1		1
7.36		1		1
7.37		1		1
7.38		1		1
7.39		1		1
7.4		1		1
7.41		1		1
7.42		1		1
7.43		1		1
7.44		1		1
7.45		1		1
7.46		1		1
7.47		1		1
7.48		1		1
7.49		1		1
7.5		1		1
7.51		1		1
7.52		1		1
7.53		1		1
7.54		1		1
7.55		1		1
7.56		1		1
7.57		1		1
7.58		1		1
7.59		1		1
7.6		1		1
7.61		1		1
7.62		1		1
7.63		1		1
7.64		1		1
7.65		1		1
7.66		1		1
7.67		1		1
7.68		1		1
7.69		1		1
7.7		1		1
7.71		1		1
7.72		1		1
7.73		1		1
7.74		1		1
7.75		1		1
7.76		1		1
7.77		1		1
7.78		1		1
7.79		1		1
7.8		1		1
7.81		1		1
7.82		1		1
7.83		1		1
7.84		1		1
7.85		1		1
7.86		1		1
7.87		1		1
7.88		1		1
7.89		1		1
7.9		1		1
7.91		1		1
7.92		1		1
7.93		1		1
7.94		1		1
7.95		1		1
7.96		1		1
7.97		1		1
7.98		1		1
7.99		1		1
8		1		1
8.01		1		1
8.02		1		1
8.03		1		1
8.04		1		1
8.05		1		1
8.06		1		1
8.07		1		1
8.08		1		1
8.09		1		1
8.1		1		1
8.11		1		1
8.12		1		1
8.13		1		1
8.14		1		1
8.15		1		1
8.16		1		1
8.17		1		1
8.18		1		1
8.19		1		1
8.2		1		1
8.21		1		1
8.22		1		1
8.23		1		1
8.24		1		1
8.25		1		1
8.26		1		1
8.27		1		1
8.28		1		1
8.29		1		1
8.3		1		1
8.31		1		1
8.32		1		1
8.33		1		1
8.34		1		1
8.35		1		1
8.36		1		1
8.37		1		1
8.38		1		1
8.39		1		1
8.4		1		1
8.41		1		1
8.42		1		1
8.43		1		1
8.44		1		1
8.45		1		1
8.46		1		1
8.47		1		1
8.48		1		1
8.49		1		1
8.5		1		1
8.51		1		1
8.52		1		1
8.53		1		1
8.54		1		1
8.55		1		1
8.56		1		1
8.57		1		1
8.58		1		1
8.59		1		1
8.6		1		1
8.61		1		1
8.62		1		1
8.63		1		1
8.64		1		1
8.65		1		1
8.66		1		1
8.67		1		1
8.68		1		1
8.69		1		1
8.7		1		1
8.71		1		1
8.72		1		1
8.73		1		1
8.74		1		1
8.75		1		1
8.76		1		1
8.77		1		1
8.78		1		1
8.79		1		1
8.8		1		1
8.81		1		1
8.82		1		1
8.83		1		1
8.84		1		1
8.85		1		1
8.86		1		1
8.87		1		1
8.88		1		1
8.89		1		1
8.9		1		1
8.91		1		1
8.92		1		1
8.93		1		1
8.94		1		1
8.95		1		1
8.96		1		1
8.97		1		1
8.98		1		1
8.99		1		1
9		1		1
9.01		1		1
9.02		1		1
9.03		1		1
9.04		1		1
9.05		1		1
9.06		1		1
9.07		1		1
9.08		1		1
9.09		1		1
9.1		1		1
9.11		1		1
9.12		1		1
9.13		1		1
9.14		1		1
9.15		1		1
9.16		1		1
9.17		1		1
9.18		1		1
9.19		1		1
9.2		1		1
9.21		1		1
9.22		1		1
9.23		1		1
9.24		1		1
9.25		1		1
9.26		1		1
9.27		1		1
9.28		1		1
9.29		1		1
9.3		1		1
9.31		1		1
9.32		1		1
9.33		1		1
9.34		1		1
9.35		1		1
9.36		1		1
9.37		1		1
9.38		1		1
9.39		1		1
9.4		1		1
9.41		1		1
9.42		1		1
9.43		1		1
9.44		1		1
9.45		1		1
9.46		1		1
9.47		1		1
9.48		1		1
9.49		1		1
9.5		1		1
9.51		1		1
9.52		1		1
9.53		1		1
9.54		1		1
9.55		1		1
9.56		1		1
9.57		1		1
9.58		1		1
9.59		1		1
9.6		1		1
9.61		1		1
9.62		1		1
9.63		1		1
9.64		1		1
9.65		1		1
9.66		1		1
9.67		1		1
9.68		1		1
9.69		1		1
9.7		1		1
9.71		1		1
9.72		1		1
9.73		1		1
9.74		1		1
9.75		1		1
9.76		1		1
9.77		1		1
9.78		1		1
9.79		1		1
9.8		1		1
9.81		1		1
9.82		1		1
9.83		1		1
9.84		1		1
9.85		1		1
9.86		1		1
9.87		1		1
9.88		1		1
9.89		1		1
9.9		1		1
9.91		1		1
9.92		1		1
9.93		1		1
9.94		1		1
9.95		1		1
9.96		1		1
9.97		1		1
9.98		1		1
9.99		1		1
10		1		1
